oversamp	turnout	weight_ftf	source	vh12_source	vendorid	col0_abtid	cat.partyaffiliation	dispo	registration	prevote_reg	postvote_reg	regdate	e2012g	e2010g	e2008g	e2006g	namematch	cat.notatsample	birthyearmatch	dobmatch	cat.samezip9	cat.samestreet	cat.samezip5	cat.sametown	cat_voterstatus	vendor_num	streetnum	regaddr.ll	altstreet_match
0	Not voted	0.1197	3	3	XX-999900000000000	20888	NA	Complete	0	1. Registered at this address	-1. Inapplicable	NA	1	1	1	0	0	NA	mismatch	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	"Not voted, unregistered"	0.128	NA	NA	NA	15123	NA	Complete	NA	3. Not currently registered	3. Not currently registered	NA	NA	NA	NA	NA	0	NA	missing data	missing data	NA	NA	NA	NA	NA	3	NA	NA	NA
0	Unknown	0.2833	1	1	999999999	20889	DEM	Complete	1	3. Not currently registered	-8. Don't know	20079999	0	0	0	0	1	1	match	match	0	0	0	0	active	NA	NA	NA	NA
0	Voted	0.1052	1	1	999999999	15111	DEM	Complete	0	3. Not currently registered	1. Registered at this address	20109999	1	0	1	0	1	1	match	match	0	0	0	0	dropped	NA	NA	NA	NA
0	Voted	0.1068	1	1	999999999	15127	REP	Complete	1	1. Registered at this address	-1. Inapplicable	20089999	1	1	1	1	1	0	match	match	0	1	1	1	active	NA	NA	NA	NA
0	Voted	0.1132	1	1	999999999	15110	REP	Complete	1	1. Registered at this address	-1. Inapplicable	20109999	1	1	1	1	1	0	match	match	0	1	1	0	active	NA	NA	NA	NA
0	Voted	0.1141	NA	NA	NA	15108	NA	Complete	NA	1. Registered at this address	-1. Inapplicable	NA	NA	NA	NA	NA	0	NA	missing data	missing data	NA	NA	NA	NA	NA	3	NA	NA	NA
0	Voted	0.1627	3	3	XX-999900000000000	15109	NA	Complete	0	1. Registered at this address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Voted	0.1627	3	3	XX-999900000000000	15109	NA	Complete	0	1. Registered at this address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Voted	0.1751	NA	NA	NA	15122	NA	Complete	NA	1. Registered at this address	-1. Inapplicable	NA	NA	NA	NA	NA	0	NA	missing data	missing data	NA	NA	NA	NA	NA	3	NA	NA	NA
0	Voted	0.1753	1	1	999999999	15119	OTH	Complete	1	1. Registered at this address	-1. Inapplicable	20089999	1	1	1	0	1	1	match	match	0	0	1	1	active	NA	NA	NA	NA
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	1	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	1	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	1	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	mismatch	mismatch	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	1	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	1	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	mismatch	mismatch	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	1	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
0	Voted	0.2745	3	3	XX-999900000000000	15120	NA	Complete	1	2. Registered at a different address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	15200	NA	FALSE
